636604507565092864	neutral	Tomorrow is the last episode of Naruto shippuden until months of filler start raining down on us :'(
670733786087337985	negative	28 Nov 1986- An IRA mortar attack on Newry RUC station misfired, and the mortars hit houses and injured 35 people https://t.co/XjAmV9ps0K
670819183047782401	positive	Hm. Maybe to make up for such a short stream today I'll stream through all of Dark Souls on Monday..
674352348915826688	positive	May Odin, Thor, and Frey lend me the strength of my Viking ancestors to make it through my next two finals. #backtostroz #FiNoles
674831824049205248	neutral	Thinking about work tomorrow makes me wanna puke haha, but at least I work with briana
675954183456075778	neutral	I still am looking for one logical answer as to why Kendrick Lamar is hypocritical with his gf...maybe tomorrow
678657513580032000	negative	I'll hate on Kendrick all fucking day but that Black Friday freestyle is fucking legendary
636316522173104128	positive	my moms best friend was talking about how my mom wore nirvana t shirts and baggy jeans in the 6th grade. mmmmm stylish.
623026750218317824	positive	*****3rd daY******====*====I wish y0u a very haPpy Eid fr0m the c0re of my heart...  Eid-ul-fitar mubArak
623051397911592960	positive	"Wishing ""-./'/.-""  You    )""""(  HappY   (==)  EID    )__( Mubarak     for you and your family . . . . . 3rd day"
630030765615484928	neutral	David Price's last start against the Yankees on April 22:  2.1 IP | 10 H | 8 ER | 3 BB | 2 K http://t.co/1NiQXyOTG7
